ontology; count_triples; runtime; exitcode
ontologies/2015-12-05/2015-12-05n3; 1695; 24; 0
ontologies/2016-06-28/2016-06-28n3; 37; 17; 0
ontologies/2013-03-26/2013-03-26n3; 738; 22; 0
ontologies/2012-05-31/2012-05-31n3; 938; 22; 0
ontologies/2018-02-09/2018-02-09n3; 2375; 44; 0
ontologies/2014-03-27/2014-03-27n3; 106; 22; 0
ontologies/2006-01-15/2006-01-15n3; 1738; 25; 0
ontologies/2012-04-20/2012-04-20n3; 56; 19; 0
ontologies/2010-09-26/2010-09-26n3; 56; 18; 0
ontologies/2015-06-26/2015-06-26n3; 278; 20; 0
ontologies/2015-09-13/2015-09-13n3; 41; 17; 0
ontologies/2003-03-31/2003-03-31n3; 3151; 26; 0
ontologies/2013-11-26/2013-11-26n3; 112; 19; 0
ontologies/2015-10-02/2015-10-02n3; 728; 21; 0
ontologies/2012-06-01/2012-06-01n3; 853; 22; 0
ontologies/2010-04-01/2010-04-01n3; 139; 19; 0
ontologies/2009-03-18/2009-03-18n3; 806; 21; 0
ontologies/2020-06-04/2020-06-04n3; 1167; 23; 0
ontologies/2015-07-05/2015-07-05n3; 11422; 29; 0
ontologies/2011-02-19/2011-02-19n3; 64; 17; 0
ontologies/2012-07-14/2012-07-14n3; 1900; 31; 0
ontologies/2009-07-28/2009-07-28n3; 126; 19; 0
ontologies/2013-05-24/2013-05-24n3; 192; 20; 0
ontologies/2020-12-01/2020-12-01n3; 427; 21; 0
ontologies/2012-09-26/2012-09-26n3; 699; 22; 0
ontologies/2013-11-06/2013-11-06n3; 502; 23; 0
ontologies/2017-01-17/2017-01-17n3; 1174; 22; 0
ontologies/2012-09-01/2012-09-01n3; 331; 22; 0
ontologies/2006-06-17/2006-06-17n3; 489; 18; 0
ontologies/2007-05-01/2007-05-01n3; 287; 20; 0
ontologies/2012-04-25/2012-04-25n3; 877; 21; 0
ontologies/2008-10-06/2008-10-06n3; 277; 17; 0
ontologies/2015-04-08/2015-04-08n3; 334; 22; 0
ontologies/2011-11-22/2011-11-22n3; 321; 20; 0
ontologies/2013-04-30/2013-04-30n3; 1928; 23; 0
ontologies/2012-12-21/2012-12-21n3; 3089; 26; 0
ontologies/2009-01-01/2009-01-01n3; 2941; 39; 0
ontologies/2020-02-14/2020-02-14n3; 426; 21; 0
ontologies/2018-03-29/2018-03-29n3; 7112; 34; 0
ontologies/2012-09-11/2012-09-11n3; 104; 19; 0
ontologies/2015-11-03/2015-11-03n3; 279; 21; 0
ontologies/2015-09-30/2015-09-30n3; 69; 19; 0
ontologies/2020-06-03/2020-06-03n3; 525; 23; 0
ontologies/2013-11-16/2013-11-16n3; 121; 18; 0
ontologies/2015-07-11/2015-07-11n3; 220; 20; 0
ontologies/2014-08-11/2014-08-11n3; 861; 22; 0
ontologies/2013-12-04/2013-12-04n3; 19810; 79; 0
ontologies/2013-09-13/2013-09-13n3; 523; 20; 0
ontologies/2012-07-23/2012-07-23n3; 1931; 29; 0
ontologies/2014-03-12/2014-03-12n3; 101; 19; 0
ontologies/2014-06-14/2014-06-14n3; 14200; 76; 0
ontologies/2013-11-30/2013-11-30n3; 118; 20; 0
ontologies/2015-04-13/2015-04-13n3; 56441; 219; 0
ontologies/2011-06-12/2011-06-12n3; 2298; 24; 0
ontologies/2010-10-07/2010-10-07n3; 118; 18; 0
ontologies/2019-10-23/2019-10-23n3; 1542; 23; 0
ontologies/2013-12-17/2013-12-17n3; 8915; 47; 0
ontologies/2006-06-30/2006-06-30n3; 147; 19; 0
ontologies/2012-07-20/2012-07-20n3; 58; 19; 0
ontologies/2015-06-19/2015-06-19n3; 1668; 27; 0
ontologies/2013-12-05/2013-12-05n3; 61; 19; 0
ontologies/2010-11-28/2010-11-28n3; 2092; 26; 0
ontologies/2012-12-30/2012-12-30n3; 232; 20; 0
ontologies/2010-08-12/2010-08-12n3; 302; 20; 0
ontologies/2012-04-27/2012-04-27n3; 193; 19; 0
ontologies/2014-04-03/2014-04-03n3; 118; 21; 0
ontologies/2014-06-28/2014-06-28n3; 445; 20; 0
ontologies/2017-04-17/2017-04-17n3; 520; 20; 0
ontologies/2012-11-09/2012-11-09n3; 109; 19; 0
ontologies/2012-03-17/2012-03-17n3; 278; 20; 0
ontologies/2015-06-22/2015-06-22n3; 108; 19; 0
ontologies/2014-05-28/2014-05-28n3; 14200; 77; 0
ontologies/2012-10-21/2012-10-21n3; 282; 20; 0
ontologies/2013-05-30/2013-05-30n3; 43; 17; 0
ontologies/2015-05-19/2015-05-19n3; 3891; 34; 0
ontologies/2013-09-20/2013-09-20n3; 372; 20; 0
ontologies/2013-12-15/2013-12-15n3; 128; 19; 0
ontologies/2009-09-25/2009-09-25n3; 306; 20; 0
ontologies/2015-01-11/2015-01-11n3; 1662; 22; 0
ontologies/2015-02-20/2015-02-20n3; 279; 20; 0
ontologies/2014-01-11/2014-01-11n3; 17851; 78; 0
ontologies/2009-04-06/2009-04-06n3; 169; 21; 0
ontologies/2015-12-14/2015-12-14n3; 712; 22; 0
ontologies/2015-03-30/2015-03-30n3; 946; 22; 0
ontologies/2016-04-25/2016-04-25n3; 2074; 34; 0
ontologies/2007-05-24/2007-05-24n3; 561; 21; 0
ontologies/2010-04-04/2010-04-04n3; 419; 22; 0
ontologies/2010-03-01/2010-03-01n3; 82; 17; 0
ontologies/2016-05-21/2016-05-21n3; 30793; 116; 0
ontologies/2014-12-22/2014-12-22n3; 232; 21; 0
ontologies/2017-07-29/2017-07-29n3; 2254; 33; 0
ontologies/2009-03-09/2009-03-09n3; 237; 20; 0
ontologies/2005-04-03/2005-04-03n3; 466; 18; 0
ontologies/2021-02-12/2021-02-12n3; 7511; 42; 0
ontologies/2013-10-15/2013-10-15n3; 178; 20; 0
ontologies/2012-10-09/2012-10-09n3; 187; 19; 0
ontologies/2007-02-25/2007-02-25n3; 154; 19; 0
ontologies/2010-04-20/2010-04-20n3; 1012; 22; 0
ontologies/2011-03-20/2011-03-20n3; 115; 19; 0
ontologies/2009-09-30/2009-09-30n3; 1782; 25; 0
ontologies/2012-07-24/2012-07-24n3; 1339; 23; 0
ontologies/2017-08-06/2017-08-06n3; 4978; 23; 0
ontologies/2017-04-28/2017-04-28n3; 243; 24; 0
ontologies/2015-04-04/2015-04-04n3; 67; 19; 0
ontologies/2019-11-07/2019-11-07n3; 530; 22; 0
ontologies/2003-10-14/2003-10-14n3; 223; 17; 0
ontologies/2013-02-23/2013-02-23n3; 122; 19; 0
ontologies/2012-07-25/2012-07-25n3; 1925; 30; 0
ontologies/2020-01-01/2020-01-01n3; 525; 21; 0
ontologies/2009-09-28/2009-09-28n3; 65; 17; 0
ontologies/2009-06-28/2009-06-28n3; 34; 18; 0
ontologies/2013-01-17/2013-01-17n3; 232; 20; 0
ontologies/2012-01-29/2012-01-29n3; 542; 21; 0
ontologies/2012-10-29/2012-10-29n3; 6919; 23; 0
ontologies/2020-05-21/2020-05-21n3; 2607; 30; 0
ontologies/2010-04-06/2010-04-06n3; 107; 17; 0
ontologies/2015-11-23/2015-11-23n3; 1673; 25; 0
ontologies/2010-10-12/2010-10-12n3; 87; 18; 0
ontologies/2016-05-10/2016-05-10n3; 207; 23; 0
ontologies/2010-07-11/2010-07-11n3; 152; 19; 0
ontologies/2008-11-29/2008-11-29n3; 1489; 24; 0
ontologies/2011-11-30/2011-11-30n3; 743; 24; 0
ontologies/2016-06-03/2016-06-03n3; 344; 19; 0
ontologies/2012-09-20/2012-09-20n3; 1644; 30; 0
ontologies/2008-02-28/2008-02-28n3; 391; 20; 0
ontologies/2014-01-15/2014-01-15n3; 3692; 33; 0
ontologies/2011-05-11/2011-05-11n3; 33; 16; 0
ontologies/2009-11-01/2009-11-01n3; 61; 18; 0
ontologies/2013-12-20/2013-12-20n3; 576; 22; 0
ontologies/2012-05-10/2012-05-10n3; 743; 22; 0
ontologies/2011-06-29/2011-06-29n3; 338; 20; 0
ontologies/2012-03-01/2012-03-01n3; 187; 19; 0
ontologies/2009-05-19/2009-05-19n3; 80; 18; 0
ontologies/2012-05-14/2012-05-14n3; 2144; 28; 0
ontologies/2013-03-20/2013-03-20n3; 390; 21; 0
ontologies/2016-09-13/2016-09-13n3; 114; 19; 0
ontologies/2008-06-03/2008-06-03n3; 190; 20; 0
ontologies/2016-04-21/2016-04-21n3; 2223; 28; 0
ontologies/2018-09-06/2018-09-06n3; 815; 21; 0
ontologies/2015-04-11/2015-04-11n3; 2751; 30; 0
ontologies/2014-03-20/2014-03-20n3; 749; 22; 0
ontologies/2019-03-22/2019-03-22n3; 560; 22; 0
ontologies/2010-10-05/2010-10-05n3; 2923; 22; 0
ontologies/2007-01-14/2007-01-14n3; 561; 20; 0
ontologies/2013-06-14/2013-06-14n3; 336; 20; 0
ontologies/2017-10-27/2017-10-27n3; 293; 21; 0
ontologies/2018-01-24/2018-01-24n3; 150; 17; 0
ontologies/2015-04-21/2015-04-21n3; 13701; 80; 0
ontologies/2017-03-08/2017-03-08n3; 17609; 32; 0
ontologies/2005-05-11/2005-05-11n3; 101; 19; 0
ontologies/2014-10-08/2014-10-08n3; 153; 20; 0
ontologies/2009-11-16/2009-11-16n3; 2032; 25; 0
ontologies/2013-11-25/2013-11-25n3; 789; 24; 0
ontologies/2018-02-22/2018-02-22n3; 227; 19; 0
ontologies/2012-08-24/2012-08-24n3; 102; 18; 0
ontologies/2014-01-23/2014-01-23n3; 85; 19; 0
ontologies/2015-06-17/2015-06-17n3; 123; 21; 0
ontologies/2016-08-12/2016-08-12n3; 647; 23; 0
ontologies/2011-09-02/2011-09-02n3; 81; 19; 0
ontologies/2016-07-01/2016-07-01n3; 70; 19; 0
ontologies/2011-08-11/2011-08-11n3; 135; 20; 0
ontologies/2005-05-03/2005-05-03n3; 402; 21; 0
ontologies/2014-11-21/2014-11-21n3; 442; 20; 0
ontologies/2011-08-16/2011-08-16n3; 203; 19; 0
ontologies/2019-10-21/2019-10-21n3; 228; 20; 0
ontologies/2010-01-01/2010-01-01n3; 591; 21; 0
ontologies/2017-08-08/2017-08-08n3; 257; 16; 0
ontologies/2021-02-26/2021-02-26n3; 125; 20; 0
ontologies/2014-09-12/2014-09-12n3; 62; 19; 0
ontologies/2014-02-07/2014-02-07n3; 425; 20; 0
ontologies/2013-03-27/2013-03-27n3; 207; 19; 0
ontologies/2015-02-19/2015-02-19n3; 228; 19; 0
ontologies/2015-03-27/2015-03-27n3; 194; 21; 0
ontologies/2016-11-15/2016-11-15n3; 289; 20; 0
ontologies/2012-03-02/2012-03-02n3; 21; 19; 0
ontologies/2013-11-21/2013-11-21n3; 184; 20; 0
ontologies/2013-05-27/2013-05-27n3; 97; 18; 0
ontologies/2013-11-14/2013-11-14n3; 257; 21; 0
ontologies/2014-01-01/2014-01-01n3; 243; 20; 0
ontologies/2016-01-28/2016-01-28n3; 163; 20; 0
ontologies/2010-06-07/2010-06-07n3; 68; 16; 0
ontologies/2018-12-17/2018-12-17n3; 224; 20; 0
ontologies/2016-02-28/2016-02-28n3; 183; 19; 0
ontologies/2014-05-21/2014-05-21n3; 285; 20; 0
ontologies/2014-01-25/2014-01-25n3; 589; 21; 0
ontologies/2013-07-05/2013-07-05n3; 527; 21; 0
ontologies/2013-05-02/2013-05-02n3; 1226; 24; 0
ontologies/2016-09-27/2016-09-27n3; 14580; 87; 0
